,chemical_formula,atomic_lumo(B),atomic_ionization_potential(A),atomic_homo(B),atomic_electron_affinity(A),atomic_rp_max(A),atomic_rs_max(B),atomic_rp_max(B),atomic_electron_affinity(B),atomic_lumo(A),atomic_rd_max(A),atomic_rs_max(A),atomic_ionization_potential(B),atomic_homo(A),atomic_rd_max(B),json_file_path,frame_number,energy,target
0,AgBr,0.708,-8.0581,-8.001,-1.6666,1.88,0.75,0.88,-3.7393,-0.479,2.97,1.32,-12.6496,-4.71,1.87,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P9sheCSX6Gol5L-IsCvDlnmT_MEGG.json,0,-1.74286913563e-14,-0.0300334190058
1,AgCl,0.574,-8.0581,-8.7,-1.6666,1.88,0.68,0.76,-3.9708,-0.479,2.97,1.32,-13.9018,-4.71,1.67,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PrTcNbJ50u8bqAFWGjPJKqnuuEvY7.json,0,-1.27208742442e-14,-0.0427972814925
2,AgF,1.251,-8.0581,-11.294,-1.6666,1.88,0.41,0.37,-4.2735,-0.479,2.97,1.32,-19.4043,-4.71,1.43,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P7JW4GQVa_xQ4YKM88F9LFzyVoXke.json,0,-1.1932599659e-14,-0.153757684993
3,AgI,0.213,-8.0581,-7.236,-1.6666,1.88,0.9,1.07,-3.5135,-0.479,2.97,1.32,-11.2571,-4.71,1.72,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P_rlThO8Jv0C2YIgYKLbCTM1rvfW-.json,0,-2.74515738272e-14,0.0369254224942
4,AlAs,0.064,-5.7805,-5.341,-0.3125,1.39,0.85,1.04,-1.8392,0.695,1.94,1.09,-9.2619,-2.784,2.02,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PpikjM2BVj1atNlsbkcJzK9TkUIox.json,0,-5.47949074088e-15,0.213261865492
5,AlN,3.057,-5.7805,-7.239,-0.3125,1.39,0.54,0.51,-1.8675,0.695,1.94,1.09,-13.5852,-2.784,1.54,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PmILc9BsSYjJ9OKH4MkPr0D4LGYGC.json,0,-6.46718926077e-16,0.0729490787754
6,AlP,0.183,-5.7805,-5.596,-0.3125,1.39,0.83,0.97,-1.92,0.695,1.94,1.09,-9.7506,-2.784,1.77,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/P_1mfRE8eDZ7zCLQwGT_3n8YC34dE.json,0,-1.27230157059e-15,0.2189583583
7,AlSb,0.105,-5.7805,-4.991,-0.3125,1.39,1.0,1.23,-1.8467,0.695,1.94,1.09,-8.4683,-2.784,2.06,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/Pws96oc5f7jIltD9Vvqc3svzL4mcW.json,0,-1.48432612807e-14,0.156868746005
8,AsB,0.064,-8.19,-5.341,-0.1074,0.83,0.85,1.04,-1.8392,2.248,1.95,0.81,-9.2619,-3.715,2.02,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PYeYlDJb7j4qJ9ol38GSM_eYJsiSe.json,0,-5.00523548429e-15,0.874978251005
9,AsGa,0.064,-5.8182,-5.341,-0.1081,1.33,0.85,1.04,-1.8392,0.13,2.16,0.99,-9.2619,-2.732,2.02,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PQhb3_h4Bo9e5xjhhTUBY_8uOEtTM.json,0,-9.2057792812e-15,0.274277793496
10,AsIn,0.064,-5.5374,-5.341,-0.2563,1.5,0.85,1.04,-1.8392,0.368,3.11,1.13,-9.2619,-2.697,2.02,/parsed/prod-022/FhiAimsParser2.0.0-2-gf9335c4/RWApItBGtGUDsfMVlHKqrjUQ4rShT/PA3s37bS9VLUzI5wYL_ntZ6RIM6IJ.json,0,-1.79277032689e-14,0.134047585489
